mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
-0.242676932,0.367407678,-0.041430837,-0.740410402,-0.625571926,0.16525879,0.028769712
0.212679135,0.10502141,0.403941301,0.187040765,0.120926351,0.117597672,0.233889585
0.457405268,0.089107478,0.507683607,0.430460541,0.428639176,0.326696362,0.593546654
0.545145972,0.103475207,0.54180903,0.407990533,0.620158987,0.461820767,0.693950544
0.568306022,0.106929515,0.630083757,0.43560018,0.604008863,0.455827969,0.716009344
0.576317979,0.104882262,0.644039471,0.42992602,0.590389949,0.493074736,0.72415972
0.589109547,0.08459065,0.642677674,0.50921239,0.584554405,0.490474629,0.718628636
0.591006831,0.083770716,0.648449229,0.521741245,0.555007178,0.504123787,0.725712715
0.589792048,0.076761156,0.644712245,0.527861243,0.54810871,0.514925433,0.713352609
0.587562378,0.079793307,0.647648689,0.515326106,0.535652844,0.524041077,0.715143175
0.570305777,0.079933477,0.625240102,0.500076998,0.51913629,0.505634993,0.7014405
0.576147981,0.078300732,0.628363495,0.49753014,0.527604907,0.522563114,0.704678251
0.572917933,0.075974893,0.619328841,0.495556293,0.524532762,0.525310721,0.69986105
0.564034679,0.079172228,0.617306205,0.473549757,0.516995612,0.520855813,0.691466008
0.568565394,0.080201095,0.632641753,0.4847559,0.51367446,0.518602355,0.693152502
0.565984572,0.084460585,0.621382552,0.488315887,0.49959214,0.514848711,0.705783571
0.564356619,0.084230875,0.624068306,0.469855022,0.509825317,0.51953158,0.698502872
0.56635965,0.086324123,0.631150945,0.475872243,0.505157448,0.516663704,0.702953911
0.565132018,0.091179752,0.631208367,0.466918499,0.501583599,0.515659631,0.710289993
0.560651242,0.092718921,0.632172503,0.464280923,0.50059766,0.499732354,0.706472773
0.563274266,0.090123725,0.630830609,0.469496253,0.494428619,0.51595374,0.70566211
0.559838024,0.093501173,0.631594441,0.465397778,0.487334544,0.507788975,0.707074381
0.561200126,0.090271706,0.623782291,0.474792737,0.48616928,0.513555377,0.707700946
0.560413522,0.08905302,0.623425659,0.469036663,0.487660037,0.518976904,0.70296835
0.55843976,0.087957775,0.619848671,0.476340708,0.476528856,0.519744007,0.699736556
0.556911099,0.08908285,0.621761611,0.474744984,0.479066138,0.509269778,0.699712983
0.556421413,0.09121385,0.615840087,0.466419413,0.48359845,0.509841091,0.706408024
0.558790601,0.087511675,0.623140071,0.474626878,0.48098552,0.517465141,0.697735394
0.559518144,0.087576897,0.618882265,0.475665737,0.486394059,0.514297682,0.702350975
