features_name,feature_importances
Nb,0.309538968533948
Age (Ma),0.1241429382923868
Ce,0.08890060236241935
Dose (×1015),0.06231493694159097
Yb/Gd,0.042585987291988085
10000×(Eu/Eu*)/YbN,0.03905278543654391
Sm,0.032988270201361414
Yb,0.029646809807462232
Gd,0.022961927379456758
Eu/Eu*,0.022396695178675458
Ce/Sm,0.021207914580701093
Nd,0.020868834569926133
Th,0.0195632073077922
Hf,0.01757928581644318
Lu,0.017171978349861217
Eu,0.01687601539040514
LREE-I,0.016858030962354373
Th/U,0.013799237336615046
Ce/Ce*,0.012966604092948352
Y,0.01257183932665305
Tm,0.0124800845459382
Tb,0.01046966622540416
P,0.009046234003561188
1000×(Ce/Nd)N/Y,0.008171113397478467
U,0.006519537295607552
U/Yb,0.004918866561566224
Er,0.003947843371901418
Dy,0.00044297370698052484
Ho,1.0811732029593284e-05
